Country Name,Country Code,Series Code,year,gdp,gdppc
Malaysia,MYS,NY.GDP.MKTP.KD,1960,10075038171.55294,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1961,10840538967.353735,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1962,11536613184.227375,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1963,12383262559.467421,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1964,13046877007.041355,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1965,14049511692.741011,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1966,15147721422.353096,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1967,15731991227.755735,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1968,16987088644.987844,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1969,17817508189.988483,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1970,18884160200.74255,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1971,20779121580.335434,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1972,22729957979.516075,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1973,25389608913.07132,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1974,27501684654.973763,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1975,27721991875.560112,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1976,30927621572.141857,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1977,33325458128.280636,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1978,35542898192.292931,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1979,38865839262.57843,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1980,41758167696.837814,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1981,44657063210.856506,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1982,47311100560.747688,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1983,50269099766.995285,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1984,54170881787.223175,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1985,53615494684.419441,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1986,54280645791.832069,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1987,57098860071.6938,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1988,62773184724.107071,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1989,68460184711.304619,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1990,74627439029.57373,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1991,81750976904.365692,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1992,89014647650.749,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1993,97822596594.5462,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1994,106834055076.17467,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1995,117334865369.35095,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1996,129071520752.78458,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1997,138523095019.84384,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1998,128328605325.8226,NA
Malaysia,MYS,NY.GDP.MKTP.KD,1999,136204917219.30614,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2000,148271131276.40512,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2001,149038694328.51114,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2002,157073352912.5593,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2003,166165542824.22232,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2004,177437278939.95654,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2005,186898481577.26288,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2006,197336475944.18134,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2007,209766278120.59918,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2008,219901701984.381,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2009,216573426577.90295,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2010,232653672974.011,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2011,244970155626.68033,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2012,258378484880.29703,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2013,270506054026.37311,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2014,286754600537.70325,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2015,301354803994.36694,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2016,314764434003.32867,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2017,333060816796.82507,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2018,349191241838.43311,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2019,364693371399.30878,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2020,344099355780.30994,NA
Malaysia,MYS,NY.GDP.MKTP.KD,2021,354878576622.71173,NA
Malaysia,MYS,NY.GDP.PCAP.KD,1960,NA,1235.239789056533
Malaysia,MYS,NY.GDP.PCAP.KD,1961,NA,1287.8082068214251
Malaysia,MYS,NY.GDP.PCAP.KD,1962,NA,1327.2165108448251
Malaysia,MYS,NY.GDP.PCAP.KD,1963,NA,1379.9365908418661
Malaysia,MYS,NY.GDP.PCAP.KD,1964,NA,1409.8898765928254
Malaysia,MYS,NY.GDP.PCAP.KD,1965,NA,1474.7731229622505
Malaysia,MYS,NY.GDP.PCAP.KD,1966,NA,1547.2515832963925
Malaysia,MYS,NY.GDP.PCAP.KD,1967,NA,1565.9455065944774
Malaysia,MYS,NY.GDP.PCAP.KD,1968,NA,1649.5549317752655
Malaysia,MYS,NY.GDP.PCAP.KD,1969,NA,1688.9601906069954
Malaysia,MYS,NY.GDP.PCAP.KD,1970,NA,1747.8647936370403
Malaysia,MYS,NY.GDP.PCAP.KD,1971,NA,1878.3498803550317
Malaysia,MYS,NY.GDP.PCAP.KD,1972,NA,2007.1884482793978
Malaysia,MYS,NY.GDP.PCAP.KD,1973,NA,2190.1493786894166
Malaysia,MYS,NY.GDP.PCAP.KD,1974,NA,2316.69179954597
Malaysia,MYS,NY.GDP.PCAP.KD,1975,NA,2279.3587466499748
Malaysia,MYS,NY.GDP.PCAP.KD,1976,NA,2480.4230863858215
Malaysia,MYS,NY.GDP.PCAP.KD,1977,NA,2605.5232681389921
Malaysia,MYS,NY.GDP.PCAP.KD,1978,NA,2708.4775209966424
Malaysia,MYS,NY.GDP.PCAP.KD,1979,NA,2887.4991233364867
Malaysia,MYS,NY.GDP.PCAP.KD,1980,NA,3026.3721711736284
Malaysia,MYS,NY.GDP.PCAP.KD,1981,NA,3159.5354208809435
Malaysia,MYS,NY.GDP.PCAP.KD,1982,NA,3269.32469462638
Malaysia,MYS,NY.GDP.PCAP.KD,1983,NA,3392.1075079807579
Malaysia,MYS,NY.GDP.PCAP.KD,1984,NA,3565.6801002628422
Malaysia,MYS,NY.GDP.PCAP.KD,1985,NA,3437.1277585825433
Malaysia,MYS,NY.GDP.PCAP.KD,1986,NA,3383.2921329441015
Malaysia,MYS,NY.GDP.PCAP.KD,1987,NA,3455.9282319320223
Malaysia,MYS,NY.GDP.PCAP.KD,1988,NA,3687.6660510552856
Malaysia,MYS,NY.GDP.PCAP.KD,1989,NA,3905.5472090618846
Malaysia,MYS,NY.GDP.PCAP.KD,1990,NA,4139.1107883013019
Malaysia,MYS,NY.GDP.PCAP.KD,1991,NA,4414.213679426176
Malaysia,MYS,NY.GDP.PCAP.KD,1992,NA,4684.325649711619
Malaysia,MYS,NY.GDP.PCAP.KD,1993,NA,5020.430773271376
Malaysia,MYS,NY.GDP.PCAP.KD,1994,NA,5347.7167961176474
Malaysia,MYS,NY.GDP.PCAP.KD,1995,NA,5727.11505793215
Malaysia,MYS,NY.GDP.PCAP.KD,1996,NA,6141.1105012791686
Malaysia,MYS,NY.GDP.PCAP.KD,1997,NA,6424.1730787084525
Malaysia,MYS,NY.GDP.PCAP.KD,1998,NA,5802.8783062113807
Malaysia,MYS,NY.GDP.PCAP.KD,1999,NA,6010.4653878005165
Malaysia,MYS,NY.GDP.PCAP.KD,2000,NA,6392.580854791313
Malaysia,MYS,NY.GDP.PCAP.KD,2001,NA,6286.1348611498634
Malaysia,MYS,NY.GDP.PCAP.KD,2002,NA,6488.3846643322677
Malaysia,MYS,NY.GDP.PCAP.KD,2003,NA,6727.6710424445891
Malaysia,MYS,NY.GDP.PCAP.KD,2004,NA,7043.7761658109275
Malaysia,MYS,NY.GDP.PCAP.KD,2005,NA,7274.971096537116
Malaysia,MYS,NY.GDP.PCAP.KD,2006,NA,7531.3648724130016
Malaysia,MYS,NY.GDP.PCAP.KD,2007,NA,7850.426534957367
Malaysia,MYS,NY.GDP.PCAP.KD,2008,NA,8073.93441630848
Malaysia,MYS,NY.GDP.PCAP.KD,2009,NA,7808.6580078925062
Malaysia,MYS,NY.GDP.PCAP.KD,2010,NA,8247.7822616317244
Malaysia,MYS,NY.GDP.PCAP.KD,2011,NA,8550.1546379727261
Malaysia,MYS,NY.GDP.PCAP.KD,2012,NA,8888.70252220725
Malaysia,MYS,NY.GDP.PCAP.KD,2013,NA,9179.3668206460443
Malaysia,MYS,NY.GDP.PCAP.KD,2014,NA,9601.17800253913
Malaysia,MYS,NY.GDP.PCAP.KD,2015,NA,9955.2427216762644
Malaysia,MYS,NY.GDP.PCAP.KD,2016,NA,10258.041512197326
Malaysia,MYS,NY.GDP.PCAP.KD,2017,NA,10707.748303166361
Malaysia,MYS,NY.GDP.PCAP.KD,2018,NA,11075.579686129899
Malaysia,MYS,NY.GDP.PCAP.KD,2019,NA,11414.578399854496
Malaysia,MYS,NY.GDP.PCAP.KD,2020,NA,10631.507663700342
Malaysia,MYS,NY.GDP.PCAP.KD,2021,NA,10827.326863985027
Mexico,MEX,NY.GDP.MKTP.KD,1960,141339651299.27863,NA
Mexico,MEX,NY.GDP.MKTP.KD,1961,148406633865.25909,NA
Mexico,MEX,NY.GDP.MKTP.KD,1962,155328934670.25241,NA
Mexico,MEX,NY.GDP.MKTP.KD,1963,167921275769.86038,NA
Mexico,MEX,NY.GDP.MKTP.KD,1964,187913110958.28842,NA
Mexico,MEX,NY.GDP.MKTP.KD,1965,201254941831.56281,NA
Mexico,MEX,NY.GDP.MKTP.KD,1966,213523723438.90796,NA
Mexico,MEX,NY.GDP.MKTP.KD,1967,226025377045.06851,NA
Mexico,MEX,NY.GDP.MKTP.KD,1968,247324378524.18439,NA
Mexico,MEX,NY.GDP.MKTP.KD,1969,255779459251.40924,NA
Mexico,MEX,NY.GDP.MKTP.KD,1970,272411477753.25998,NA
Mexico,MEX,NY.GDP.MKTP.KD,1971,282660871573.84869,NA
Mexico,MEX,NY.GDP.MKTP.KD,1972,305920490043.32092,NA
Mexico,MEX,NY.GDP.MKTP.KD,1973,329969266443.91364,NA
Mexico,MEX,NY.GDP.MKTP.KD,1974,349031020879.15784,NA
Mexico,MEX,NY.GDP.MKTP.KD,1975,369081055688.62256,NA
Mexico,MEX,NY.GDP.MKTP.KD,1976,385385005141.17676,NA
Mexico,MEX,NY.GDP.MKTP.KD,1977,398452022148.68884,NA
Mexico,MEX,NY.GDP.MKTP.KD,1978,434141139976.75378,NA
Mexico,MEX,NY.GDP.MKTP.KD,1979,476244886366.59167,NA
Mexico,MEX,NY.GDP.MKTP.KD,1980,520217776788.9502,NA
Mexico,MEX,NY.GDP.MKTP.KD,1981,564569498227.49,NA
Mexico,MEX,NY.GDP.MKTP.KD,1982,561629174877.10547,NA
Mexico,MEX,NY.GDP.MKTP.KD,1983,542048412871.02441,NA
Mexico,MEX,NY.GDP.MKTP.KD,1984,560536676759.34314,NA
Mexico,MEX,NY.GDP.MKTP.KD,1985,572799499049.967,NA
Mexico,MEX,NY.GDP.MKTP.KD,1986,555163258082.90259,NA
Mexico,MEX,NY.GDP.MKTP.KD,1987,564725608286.93982,NA
Mexico,MEX,NY.GDP.MKTP.KD,1988,571972511756.53259,NA
Mexico,MEX,NY.GDP.MKTP.KD,1989,595454896594.03723,NA
Mexico,MEX,NY.GDP.MKTP.KD,1990,626274262889.668,NA
Mexico,MEX,NY.GDP.MKTP.KD,1991,652670187687.28027,NA
Mexico,MEX,NY.GDP.MKTP.KD,1992,675781907471.65747,NA
Mexico,MEX,NY.GDP.MKTP.KD,1993,688899887486.44556,NA
Mexico,MEX,NY.GDP.MKTP.KD,1994,722938986701.87085,NA
Mexico,MEX,NY.GDP.MKTP.KD,1995,677457226352.72632,NA
Mexico,MEX,NY.GDP.MKTP.KD,1996,723343156837.84534,NA
Mexico,MEX,NY.GDP.MKTP.KD,1997,772869394254.07007,NA
Mexico,MEX,NY.GDP.MKTP.KD,1998,812779791419.35,NA
Mexico,MEX,NY.GDP.MKTP.KD,1999,835160123888.65576,NA
Mexico,MEX,NY.GDP.MKTP.KD,2000,876437526455.26831,NA
Mexico,MEX,NY.GDP.MKTP.KD,2001,872893299631.65222,NA
Mexico,MEX,NY.GDP.MKTP.KD,2002,872545499822.64038,NA
Mexico,MEX,NY.GDP.MKTP.KD,2003,885165846839.51013,NA
Mexico,MEX,NY.GDP.MKTP.KD,2004,919869577686.50708,NA
Mexico,MEX,NY.GDP.MKTP.KD,2005,941098392797.58044,NA
Mexico,MEX,NY.GDP.MKTP.KD,2006,983401498615.02856,NA
Mexico,MEX,NY.GDP.MKTP.KD,2007,1005935610109.3851,NA
Mexico,MEX,NY.GDP.MKTP.KD,2008,1017439334703.6921,NA
Mexico,MEX,NY.GDP.MKTP.KD,2009,963660094723.91663,NA
Mexico,MEX,NY.GDP.MKTP.KD,2010,1012981356870.8718,NA
Mexico,MEX,NY.GDP.MKTP.KD,2011,1050086944297.4181,NA
Mexico,MEX,NY.GDP.MKTP.KD,2012,1088334499223.1228,NA
